MW,nAT,nSK,nBT,nBO,nBM,RBF,nDB,nTB,nAB,nP,nS,nF,nCL,nX,H%,C%,N%,O%,X%,nCar
74.14,15,5,14,4,0,0.143,0,0,0,0,0,0,0,0,66.7,26.7,0,6.7,0,0
147.43,11,6,10,5,0,0,0,0,0,0,0,0,3,3,45.5,27.3,0,0,27.3,0
92.11,14,6,13,5,0,0.154,0,0,0,0,0,0,0,0,57.1,21.4,0,21.4,0,0
138.02,8,8,7,7,0,0,0,0,0,0,0,6,0,6,0,25,0,0,75,0
151.911,8,8,7,7,0,0,0,0,0,1,0,6,0,6,0,0,0,0,75,0
98.06,9,7,9,7,3,0,3,0,0,0,0,0,0,0,22.2,44.4,0,33.3,0,0
50.49,5,2,4,1,0,0,0,0,0,0,0,0,1,1,60,20,0,0,20,0
58.14,14,4,13,3,0,0.077,0,0,0,0,0,0,0,0,71.4,28.6,0,0,0,0
142.28,28,10,28,10,0,0.071,0,0,0,0,0,0,0,0,64.3,28.6,7.1,0,0,0
108.16,16,8,16,8,6,0,0,0,6,0,0,0,0,0,50,37.5,12.5,0,0,6
136.17,21,9,20,8,0,0.2,0,0,0,0,0,0,0,0,57.1,23.8,0,19,0,0
72.17,17,5,16,4,0,0.125,0,0,0,0,0,0,0,0,70.6,29.4,0,0,0,0
142.28,28,10,28,10,0,0.071,0,0,0,0,0,0,0,0,64.3,28.6,7.1,0,0,0
142.28,28,10,28,10,0,0.071,0,0,0,0,0,0,0,0,64.3,28.6,7.1,0,0,0
108.16,16,8,16,8,6,0,0,0,6,0,0,0,0,0,50,37.5,12.5,0,0,6
169.89,5,5,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,80,0
98.09,7,5,6,4,2,0,2,0,0,0,1,0,0,0,28.6,0,0,57.1,0,0
165.82,6,6,5,5,1,0,1,0,0,0,0,0,4,4,0,33.3,0,0,66.7,0
102.04,8,6,7,5,0,0,0,0,0,0,0,4,0,4,25,25,0,0,50,0
92.15,15,7,15,7,6,0,0,0,6,0,0,0,0,0,53.3,46.7,0,0,0,6
131.38,6,5,5,4,1,0,1,0,0,0,0,0,3,3,16.7,33.3,0,0,50,0
147.43,11,6,10,5,0,0,0,0,0,0,0,0,3,3,45.5,27.3,0,0,27.3,0
265.47,18,15,18,15,9,0.167,3,0,6,0,0,0,3,3,16.7,50,0,16.7,16.7,6
106.18,18,8,18,8,6,0,0,0,6,0,0,0,0,0,55.6,44.4,0,0,0,6
42.09,9,3,8,2,1,0,1,0,0,0,0,0,0,0,66.7,33.3,0,0,0,0
